기관코드,유형_1,유형_2,대표기관명,전체기관명,최하위기관명,대표전화번호,새우편번호,도로명주소 - 예: 서울특별시 중구 동호로5길 15 (신당동),비고 
4260028,지자체,7읍면동_면,강원도,강원도 횡성군 우천면사무소,우천면사무소,033-340-2602,25248,강원도 횡성군 우천면 우항1길 5-30,
4260032,지자체,7읍면동_면,강원도,강원도 횡성군 청일면사무소,청일면사무소,033-340-2606,25254,강원도 횡성군 청일면 유동로 17,
4200075,지자체,8읍면동_동,강원도,강원도 강릉시 강남동주민센터,강남동주민센터,033-660-3921,25611,강원도 강릉시 남부로 232 (노암동),
4200077,지자체,8읍면동_동,강원도,강원도 강릉시 경포동주민센터,경포동주민센터,033-660-3976,25464,강원도 강릉시 운정길 16 (난곡동),
4200062,지자체,8읍면동_동,강원도,강원도 강릉시 교1동주민센터,교1동주민센터,033-660-3771,25507,강원도 강릉시 하슬라로 173 (교동),
4200063,지자체,8읍면동_동,강원도,강원도 강릉시 교2동주민센터,교2동주민센터,033-660-3802,25490,강원도 강릉시 율곡로 2974 (교동),
4200068,지자체,8읍면동_동,강원도,강원도 강릉시 내곡동주민센터,내곡동주민센터,033-660-3902,25604,강원도 강릉시 범일로 574 (내곡동),
4200076,지자체,8읍면동_동,강원도,강원도 강릉시 성덕동주민센터,성덕동주민센터,033-660-3951,25578,강원도 강릉시 성덕포남로 115 (입암동),
4200067,지자체,8읍면동_동,강원도,강원도 강릉시 송정동주민센터,송정동주민센터,033-660-3882,25562,강원도 강릉시 경강로 2451 (송정동),
4200061,지자체,8읍면동_동,강원도,강원도 강릉시 옥천동주민센터,옥천동주민센터,033-660-3751,25552,강원도 강릉시 경강로 2179 (옥천동),
4200060,지자체,8읍면동_동,강원도,강원도 강릉시 중앙동주민센터,중앙동주민센터,033-660-3731,25530,강원도 강릉시 토성로 163 (임당동),
4200066,지자체,8읍면동_동,강원도,강원도 강릉시 초당동주민센터,초당동주민센터,033-660-3861,25466,강원도 강릉시 초당순두부길 99 (초당동),
4200064,지자체,8읍면동_동,강원도,강원도 강릉시 포남1동주민센터,포남1동주민센터,033-660-3817,25545,강원도 강릉시 남구길30번길 42 (포남동),
4200065,지자체,8읍면동_동,강원도,강원도 강릉시 포남2동주민센터,포남2동주민센터,033-660-3841,25566,강원도 강릉시 하평2길 29 (포남동),
4200059,지자체,8읍면동_동,강원도,강원도 강릉시 홍제동주민센터,홍제동주민센터,033-660-3711,25537,강원도 강릉시 경강로 1953 (홍제동),
4210032,지자체,8읍면동_동,강원도,강원도 동해시 동호동주민센터,동호동주민센터,033-530-2551,25724,강원도 동해시 동호3길 35 (발한동),
4210040,지자체,8읍면동_동,강원도,강원도 동해시 망상동주민센터,망상동주민센터,033-530-2591,25715,강원도 동해시 발한로 330 (발한동),
4210036,지자체,8읍면동_동,강원도,강원도 동해시 묵호동주민센터,묵호동주민센터,033-530-2571,25717,강원도 동해시 논골길 78 (묵호진동),
4210034,지자체,8읍면동_동,강원도,강원도 동해시 발한동주민센터,발한동주민센터,033-530-2561,25720,강원도 동해시 발한로 211 (발한동),
4210031,지자체,8읍면동_동,강원도,강원도 동해시 부곡동주민센터,부곡동주민센터,033-530-2541,25735,강원도 동해시 부곡1길 6 (부곡동),
4210030,지자체,8읍면동_동,강원도,강원도 동해시 북삼동주민센터,북삼동주민센터,033-530-2531,25806,강원도 동해시 효자남길 33-4 (동회동),
4210037,지자체,8읍면동_동,강원도,강원도 동해시 북평동주민센터,북평동주민센터,033-530-2581,25813,강원도 동해시 대동로 137 (북평동),
4210042,지자체,8읍면동_동,강원도,강원도 동해시 삼화동주민센터,삼화동주민센터,033-530-2601,25745,강원도 동해시 무릉1길 10 (삼화동),
4210029,지자체,8읍면동_동,강원도,강원도 동해시 송정동주민센터,송정동주민센터,033-530-2521,25785,강원도 동해시 동해항 2길 25 (송정동),
4210028,지자체,8읍면동_동,강원도,강원도 동해시 천곡동주민센터,천곡동주민센터,033-530-2511,25769,강원도 동해시 천곡로 98-1 (천곡동),
4240051,지자체,8읍면동_동,강원도,강원도 삼척시 교동행정복지센터,교동행정복지센터,033-572-2023,25916,강원도 삼척시 대학로 88-14,
4240050,지자체,8읍면동_동,강원도,강원도 삼척시 남양동행정복지센터,남양동행정복지센터,033-572-2012,25929,강원도 삼척시 남양길 11,
4240062,지자체,8읍면동_동,강원도,강원도 삼척시 성내동행정복지센터,성내동행정복지센터,033-572-2022,25916,강원도 삼척시 대학로 57,
4240052,지자체,8읍면동_동,강원도,강원도 삼척시 정라동행정복지센터,정라동행정복지센터,033-572-2024,25925,강원도 삼척시 새천년도로 16,
4230027,지자체,8읍면동_동,강원도,강원도 속초시 교동주민센터,교동주민센터,033-639-2604,24829,강원도 속초시 청학로 51 (청학동),
4230026,지자체,8읍면동_동,강원도,강원도 속초시 금호동주민센터,금호동주민센터,033-639-2603,24827,강원도 속초시 중앙시장로 43 (중앙동),
4230028,지자체,8읍면동_동,강원도,강원도 속초시 노학동주민센터,노학동주민센터,033-639-2605,24855,강원도 속초시 동해대로 4245 (교동),
4230031,지자체,8읍면동_동,강원도,강원도 속초시 대포동주민센터,대포동주민센터,033-639-2608,24904,강원도 속초시 설악산로466(도문동),
4230025,지자체,8읍면동_동,강원도,강원도 속초시 동명동주민센터,동명동주민센터,033-639-2602,24823,강원도 속초시 중앙로 257 (동명동),
4230024,지자체,8읍면동_동,강원도,강원도 속초시 영랑동주민센터,영랑동주민센터,033-639-2601,24803,강원도 속초시 중앙로 403 (장사동),
4230029,지자체,8읍면동_동,강원도,강원도 속초시 조양동주민센터,조양동주민센터,033-639-2606,24890,강원도 속초시 선사로1길 16 (조양동),
4230030,지자체,8읍면동_동,강원도,강원도 속초시 청호동주민센터,청호동주민센터,033-639-2607,24883,강원도 속초시 청호로 93 (청호동),
4190048,지자체,8읍면동_동,강원도,강원도 원주시 개운동 행정복지센터,개운동 행정복지센터,033-737-5512 ,26444,강원도 원주시 행구로 40 (개운동),
4190055,지자체,8읍면동_동,강원도,강원도 원주시 단계동 행정복지센터,단계동 행정복지센터,033-737-5518 ,26411,강원도 원주시 백간길 95 (단계동),
4190051,지자체,8읍면동_동,강원도,강원도 원주시 단구동 행정복지센터,단구동 행정복지센터,033-737-5515 ,26450,강원도 원주시 치악로 1605 (단구동),
4190049,지자체,8읍면동_동,강원도,강원도 원주시 명륜1동 행정복지센터,명륜1동 행정복지센터,033-737-5513 ,26441,강원도 원주시 남원로 653 (명륜동),
4190050,지자체,8읍면동_동,강원도,강원도 원주시 명륜2동 행정복지센터,명륜2동 행정복지센터,033-737-5514 ,26481,강원도 원주시 황소마을길 30 (명륜동),
4190062,지자체,8읍면동_동,강원도,강원도 원주시 무실동 행정복지센터,무실동 행정복지센터,033-737-5524 ,26383,강원도 원주시 만대공원길 14-10 (무실동),
4190096,지자체,8읍면동_동,강원도,강원도 원주시 반곡관설동 행정복지센터,반곡관설동 행정복지센터,033-737-5525 ,26460,강원도 원주시 입춘로 5 (반곡동),
4190095,지자체,8읍면동_동,강원도,강원도 원주시 봉산동 행정복지센터,봉산동 행정복지센터,033-737-5522 ,26330,강원도 원주시 치악로 1868 (봉산동),
4190056,지자체,8읍면동_동,강원도,강원도 원주시 우산동 행정복지센터,우산동 행정복지센터,033-737-5519 ,26341,강원도 원주시 진광길 9 (우산동),
4190047,지자체,8읍면동_동,강원도,강원도 원주시 원인동 행정복지센터,원인동 행정복지센터,033-737-5511 ,26433,강원도 원주시 무실로 63 (원동),
4190052,지자체,8읍면동_동,강원도,강원도 원주시 일산동 행정복지센터,일산동 행정복지센터,033-737-5516 ,26417,강원도 원주시 천사로 159 (일산동),
4190093,지자체,8읍면동_동,강원도,강원도 원주시 중앙동 행정복지센터,중앙동 행정복지센터,033-737-5510 ,26415,강원도 원주시 충정길 12 (학성동),
4190057,지자체,8읍면동_동,강원도,강원도 원주시 태장1동 행정복지센터,태장1동 행정복지센터,033-737-5520 ,26326,강원도 원주시 천사로 291 (태장동),
