content,docs,etc,howto,name,purpose,service,target
"
								- 상, 하반기(2월, 8월) ,- 우편, 방문, FAX, 이메일(홈페이지 참조)
							",,,"
								,
							",," 
								- 우수장학금: 학업성적 우수자,- 자립장학금: 저소득층가정 또는 장애가 있는 학생,- 효선행장학금: 효선행 실천으로 단체로부터 칭송받은 자,- 다문화장학금: 생활이 어려운 다문화가정 학생,※ 학교장, 시군구청장으로부터 추천받은 자
							",청소년 장학금 지원,"
								- 1인당 50만원 지원
							"
"
								- 공통 (중복보상),   상해사망 3,000만원 (정액), ,   상해 후유장해 3,000만원 한도 (3,000만원 * 장해율), - 플랜A (중복보상),   상해 입원 일당 2만 원 (정액, 첫날부터, 180일한도),   상해 골절진단비 건당 15만원 (정액, 건수제한 없음),   상해 화상진단비 (정액, 건수제한 없음), - 플랜B (비례보상),   상해 입원의료비 건당 2,000만원 한도 (건수제한 없음),   상해 통원의료비 회당 25만원 한도 (180회 한도),   상해 처방조제비 건당 5만원 한도 (180건 한도)
							","
								1. 사업자등록증 또는 고유번호증 , 2. 공제청약서
							","
								본 사항은 특정기한이 없는 계속사업이나 게시글 등록 시 필수입력 조건으로 인해 임의기간 설정
							","
								① 온라인 신청 : 공제회 홈페이지 메뉴 ‘사업안내’ → ‘정부지원 단체상해공제’ → ‘가입신청’ 버튼 → 청약신청 후 출력,  ② 팩스발송 : 청약서 발송 (F. 02-6969-9606),  ③ 보험료 입금 : 직원 1인 당 1만원 ,- 가입 및 보상문의 ,(사)한국사회복지공제회 공제보험사업부 : (전화) 02-3775-8899, (팩스) 02-6969-9606
							",,"
								사회복지법인 및 시설, 어린이집, 장기요양기관 등 사회복지관련 기관에 근무하는 임직원들에게 업무 및 일상생활 중 발생할 수 있는 상해사고로 인한 의료비용 등을 보장해드리는 보건복지부 처우개선 정책사업으로 임직원 1인 당 年 보험료(2만원) 중 50%(1만원)을 정부에서 지원해드리는 공제보험입니다.
							",정부지원 단체상해공제," 
								- 공통요건 ,1) 소속 시설/법인에서 급여를 지급하고, 4대 보험 중 하나 이상에 가입한 자 ,2) 만 15세 이상인 자 ,3) 사무직(상해급수 1급 해당자 - 사회복지사, 보육교직원, 교사, 치료사, 요양보호사 등) : 만 80세 이하 ,4) 기능직(상해급수 2급 해당자 - 차량기사, 조리사 등) : 만 70세 이하 , - 다음의 어느 하나에 해당하는 임직원 ,1. 사회복지사업법 제2조에 따른 사회복지법인 및 시설 등의 임직원 및 대표자, 상근임원 ,   (직종 및 담당 직무 무관, 계약직, 사회서비스바우처인력(활동보조인, 노인돌보미 등) 포함) ,2. 민법 또는 다른 법률에 의해 설립된 법인/기관의 사회복지업무 담당자 ,3. 기타 한국사회복지공제회 정관에서 회원의 대상으로 정한 자 ,※ 사회복무요원(공익요원), 자원봉사자 등은 가입대상이 아닙니다.(가입해도 보상불가)
							"
"
								- 매월 15일까지 인터넷 사연신청(www.ktngwelfare.org)
							",,,,," 
								- 의료비가 필요한 만 18세 이하 저소득 아동,청소년
							",상상펀드 의료비 지원사업,"
								- 치료비, 수술비, 재활, 보장구 구입 등 의료비 지원,ㆍ신청사연에 대하여 kt&g 임직원 모금 포털을 통해 모금액 지원,- 최소보장지원금 300만원 ~ 최대 500만원 지원
							"
"
								- 시군구 희망복지지원단 공모사업으로 사업대상지역에서 신청가능
							",,,,," 
								- 전문적인 정신건강서비스가 필요한 중위소득 75%이하 가정의 13~18세 청소년 및 부모
							",청소년 정신건강지원사업,"
								- 진료비(검사 및 치료, 약제, 프로그램) 최대 150만원, 입원치료 필요시 타사업 연계
							"
"
								- 한국전력 각 지역 관할지사 신청(매년 2회)
							",,,,," 
								- 순수 주거용 고객으로 전기요금 3개월 이상 체납중인 기초생활수급자, 차상위계층 가구
							",한국전력 에너지 나눔 기금,"
								- 가구당 15만원 한도의 체납전기요금
							"
"
								- 홈페이지 신청, 사연심사 및 네티즌 추천, 매월 50명 선정 ktngwelfare.org
							",,,"
								,
							",," 
								- 아동, 청소년 사업 수행중인 사회복지기관 저소득 아동(만7세~18세)
							",행복가정학습지원사업,"
								- 학습물품 구입비 10만원(도서, 학용품, 가방, 교복 등)
							"
"
								- 병원내 의료사회복지사를 통해서 신청,- 문의: 연중, 050-5987-0909, pinkheart@kamsw.or.kr
							",,,"
								- 공통서류 : 지원대상자서약서
							",," 
								- 기초생활수급자, 차상위대상, 최저생계비 100%이하 저소득 유방암 환자(다문화, 유학생 등 외국인(불법체류가능) 포함)
							",핑크하트 프로젝트,"
								- 1인 최대 400만원 한도내 지원,※ 외국인의 경우 500만원 한도내 지원, 건강보험 적용 외국인의 경우 400만원 지원
							"
"
								- 인터넷 접수 : www.songamfoundation.org,- 매년 2월, 6~8월 중
							","
								,
							",,"
								- 송암문화재단 다문화장학생 신청서, 자기소개서, 개인정보제공동의서, 다문화 증빙서류,- 재산증빙서류(부모가 각각 보험료를 납부할 경우 양쪽 다 제출),- 주민등록등본(부모 명의로 발급), 재학증명서, 전학년 성적증명서
							",," 
								- 다문화가정 자녀 중 현재 대학(전문대 포함)에 재학중이며 가정 형편 등으로 인해 등록금 마련에 고충을 겪고 있는 자
							",장학사업,"
								- 등록금 전액,- 금액 미정
							"
"
								- 인터넷 접수 : greentrip.kr
							",,,"
								,
							",," 
								- 등록장애인이면 누구나
							",초록여행,"
								- 1박2일 가족여행(매월 5가족 선발),- 기사제공 여행(매월 3가족 선발),- 유류비지원 여행(매월 10가족 선발),- 무상차량 제공 여행(선착순 예약접수),※ 차량 출고 : 서울, 부산, 광주,※ KBS라디오 내일은 푸른하늘 출연 협조 필요
							"
"
								- 기타 접수: 병원 내 사회사업실을 통해 지원 ,- 연중 접수,- 심의절차 및 기준,· 상담(혈액암협회담당자와전화상담)→지원신청(병원사회사업실또는사회복지팀접수)→지원심사→결과통보(병원공문접수,환우에게는개별문자알림)→송금(매월말일,병원원무과또는사회사업실계좌)
							",,,"
								- 공통서류,· 치료비지원신청서, 사회복지사소견서, 개인정보제공및정보제공동의서, 진단서, 주민등록등본, 전월세계약서사본, 의료급여증사본또는건강보험증사본, 지방세과세증명서또는미과세증명서, 기타금융기관대출관련서류등부채상황을확인할수있는서류, 지원대상자사진1매, 후원금수령확인서
							",," 
								- 기초생활보장수급권자나 저소득층 성인 백혈병 환우
							",치료비지원,"
								- 치료비 100만원 ~ 최대 500만원,- 생활비 5만원 ~ 최대 100만원
							"
"
								- 인터넷 접수
							",,,"
								,
							",," 
								- 중·고등학교 재학 중인 교통사고 유자녀
							",세잎클로버 찾기,"
								- 교통사고 유자녀의 재능 및 장래희망 실현을 위한 진로 멘토링 및 비용 지원 ,- 대학생 1:1 진로 멘토링, 관심 직업 전문가와의 만남, 직업현장 방문 ,- 진로 관련 교육비, 서적 및 필요 물품 지원 外
							"
"
								- 연중 접수: 각 병원 사회사업실 또는 개인신청
							",,,"
								- 개인: 치료비지언신청서(사진), 개인정보공개동의서, 진단서, 소득관련서류(택1) ,- 직장인 (근로소득원청징수사본), 자영업자(소득금액증명원,건강보험납입증명서), 그 외(건강보험 납입증명서),- 기관: 추천서(기관에서 추천하는 환아에 한함)
							",," 
								- 서울, 대구, 부산, 울산의 만 29세 미만 환아로 최저생계비 350% 미만 가정
							",일상생활지원(희망다미웰니스센터),"
								- 건강증진활동: 아로마, 요가, 태극권, 베이비마사지(다른 건강증진활동도 지원 가능) ,- 심리정서지원: 상담(부모교육), 미술치료, 인지치료, 언어치료 등 ,- 교육지원: 교육비지원, 제도교육 외 교육비지원, 진로상담, 진로코칭 ,- 발달지원: 각종 체험, 캠프, 동아리, 자조모임 ,- 경제지원: 사회적경제공동체지원, 생계지원(구. 치료보조비)
							"
"
								- 인터넷 접수: www.childsafe.or.kr ,- 우편 접수(서류 제출 대상자): 서울시 송파구 오금로 472(거여동) ,- 매년 4월, 7월 접수공고
							",,,"
								- 주민등록등본 원본 1부(필수), 자동차등록증 사본 1부(필수), 선정기준 증빙서류 1부(필수), 자동차보험증서 사본 1부(해당자에 한 함)
							",," 
								- 기타조건: 전국 3세 이하의 자녀(유아)가 있으며 자동차를 보유한 가정 중 저소득층 및 사회적 취약 계층 가정 ,- 신청자격: 1, 2, 3에 모두 해당하는 가정,ㆍ1. 전국 3세 이하(2012년~2014년 출생)의 자녀를 둔 가정,ㆍ2. 배기량 2,000cc 미만의 승용차를 보유한 가정(승합, 화물, 외제차량 제 외),ㆍ3. 선정기준(1~6순위)에 해당하는 가정 ,* 1순위: 교통안전공단 자동차사고 피해지원사업 대상자 가정, 기초생활수급자 가정,* 2순위: 차상위계층 가정, 저소득 한부모 가정 ,* 3순위: 국가유공자 중 생활조정수당 수급자 가정 ,* 4순위: 장애인(장애등급 1급 또는 2급) 가정, 희귀난치성질환자 중 의료비지원사업 대상자 가정 ,* 5순위: 입양된 영유아 자녀 가정 ,* 6순위: 세 자녀 이상 가정
							",카시트 사업,"
								- 카시트 무상보급
							"
"
								- 연중 접수: 관공서/복지시설 공문 및 추천서 접수,- 기타(팩스 031-210-6834)
							",,,"
								- 복지기관 및 관공서 추천 공문, 의료보호 1종 확인서, 대상자 추천서(대상자 자필서명 必)
							",," 
								- 연령: 만 75세 이하 ,- 소득 및 재산: 기초생활수급자 중 의료보호 1종 ,- 기타조건: 차상위계층은 서류심사 후 추후 확정 통보
							",인공관절 무료시술 사업,"
								- 비급여 및 본인부담금 전액(검사료, 수술비, 입원비, 식대 등),- 간병인 1명 (09:00~18:00 간병지원 3일 이내),- 금액 미정
							"
"
								- 우편 접수: 서울시 구로구 디지털로 34길 55 코오롱싸이언스밸리 2차 310호
							",,,"
								- 추천권자(학교 또는 기관)의 장학생 추천서, 주민등록등본 1부,- 학교생활기록부 사본 1부 또는 성적증명서,- 경제 상황 증빙서류(기초생활  수급대상자 증명서, 차상위 증명서, 한부모가족증명서, 소득관련 증빙서류 중 1가지 서류를 신청자 명의로 발급 받아 제출)
							",," 
								- 현재 중학교 2~3학년에 재학중인 학생으로서 가정형편이 어려운 저소득층 가정의 학생
							",장학사업,"
								- 1인 120만원
							"
"
								- 방문 및 우편(등기)접수: 서울시 마포구 만리재로 51(신공덕동),- 이메일 접수: loveaid@gmail.com,- 매년 3월~4월 공고
							",,,"
								- 신청대상자 추천서(재단홈페이지에서 다운받아 사용),- 진단서 또는 소견서 1부,- 주민등록등본,- 전월세계약서,- 장애증명서(해당자에 한함),- 소득관련증빙서류(홈페이지 참조)
							",," 
								- 종합복지관, 병원별 사회사업팀, 구청 및 동/면 주민센터 담당자 추천에 의한 대상자,- 경제적이나 생활의 어려움이 가장 위급한 대상자,- 척추관절 수술 및 치료가 시급한 대상자
							",사랑나누리,"
								- 척추관절 수술비 또는 치료비 지원(금액 미정),ㆍ단, 나누리병원의 의료비에 한하며, 선정되기 이전에 청구된 의료비는 지원되지 않음,- 시술병원 : 척추관절 전문 나누리병원(서울, 인천, 강서 모두 시술 가능)
							"
"
								- 인터넷 접수: ,(단, 첨부서류는 우편접수: 서울시 강남구 청담동 41-2 금하빌딩 B1F),- 공고: 매년 2월 초, 7월 말
							","
								,
							",,"
								- 기존 장학금 수혜자: 장학생신상카드 1부, 전학년 성적증명서 1부, 재학증명서 1부,- 신규 장학금 신청자: 전학년 성적증명서 1부, 재학증명서 1부, 주민등록등본 1부, 기타 증빙서류(기초생활수급대상자, 장애인증명서, 한부모가정 증명서 등) 각 1부,- 복학생 장학금 신청: 장학생 신상카드 1부, 휴학전까지의 전학년 성적증명서 1부, 재학증명서 1부
							",," 
								- 빈곤한 가정형편으로 학업에 어려움이 있는 학생들(중고등학생, 대학생)
							",장학사업,"
								- 장학금 지원
							"
"
								- 홈페이지 공고시 신청,ㆍ이메일 접수: soaamwellness@hanmail.net,ㆍ팩스 접수: 02-3141-5368
							",,,,," 
								- 서울, 경기, 인천, 부산, 대구, 구미의 백혈병·소아암 환아 및 가족
							",환아방문서비스(가족희망파트너 파견사업),"
								- 환아지원: 신체활동, 놀이, 학습지도, 간병 등 개별상담 후 진행,- 가족지원: 정서지원, 형제지원
							"
"
								- 기타 접수: 주소지 관할 보건소(연중 접수)
							",,,"
								- 만 10세까지: 개안수술 지원 신청서, 수술이 필요하다는 내용의 의사진단서,- 건강보험 대상자: 건강보험료 납부 확인서 1부 ,- 11~59세: 지원신청서(인터넷으로 다운받아 작성 가능), 안과 진료의뢰서(진단서), 주민등록등본, 신청일 전월의 건강보험료 납부영수증 각 1부 ,- 60세 이상: 개안수술 지원신청서, 안과 진료의뢰서9진단서) 1부, 주민등록등본 (지원대상자가 보험가입자와 함께 거주시) 또는 건강보험증 사본(지원대상자가 보험가입자와 달리 거주시), 신청일 전월의 건강보험료 납부영수증(수급자의 경우, 수급자 증명서 제출)
							",," 
								- 만10세까지,ㆍ수급자(의료급여 1종, 2종),ㆍ차상위 대상자,ㆍ건강보험 대상자 중 월 건강보험료 납부액이 일정액 이하이며, 재산세 1년 과제 내역이 50,000원 미만인 자 ,- 만 10세 이상,ㆍ전국가구 평균소득 50%이하 대상
							",눈 수술비 지원,"
								- 대상질환,ㆍ백내장, 녹내장, 망막질환 등(60세 이상 저소득 어르신, 10~59세 저소득가정, 다문화 가정 및 외국인 노동자),ㆍ만 10세 미만 어린이에 한해 사시, 첩모난생, 인검하수 등 지원 ,- 수술비 지원 범위: 수술 전 사전검사비 1회, 수술비, 수술에 관련된 재료비, 안경/돋보기 구입비(의사 처방에 의해 하나만 지원, 상한액은 4만원) 등, 개안수술비 총액 중 본인 부담금 지원, 입원비는 일반기준병실(5~6인실)로 지급되고, 환자 식대를 포함 ,- 금액 미정
							"
"
								- 연중 수시 접수,- 인터넷 접수: www.koreakidney.or.kr
							","
								,
							",,"
								- 이력서,- 초기면접지,- 복지카드사본(홈페이지 양식)
							",," 
								- 신장장애인(등록장애인)
							",직업재활 지원사업,"
								- 신장장애인 취업지원
							"
"
								- 인터넷 접수 : , ,- 우편 접수 : 서울 강동구 천호대로 1078, 210호(성내용 씨제이나인파크),- 연중 수시 게시판 접수
							","
								,
							",,"
								- 지원 신청서
							",," 
								- 지역별 i위시맘 서포트 그룹 모임 참여자(모임 미참여시 탈락) ,- 최소한 인공수정, 체외수정시술 계획 2개월 전 신청 ,- 현재 아가야 보듬이 지원사업 선정자인 경우 시술중에는 제외 ,- 한번 지원받은 적이 있는 분은 1년 내 중복지원 불가(단, 재지원 20 : 신규 80 비율로 선정) ,- 자격: i위시맘 가정 누구나(소득기준, 정부지원사업수혜여부, 아가야보듬이 수혜여부 무관) * 참가비 1만 원
							",미세영양소 지원사업,"
								- DD맘을 위한 계획임신 프로그램 제공 ,- 난임전문상담사의 난임상담 지원 ,- 난임 극복을 위한 식이습관 및 생활습관 개선 안내 ,- 입양정보 제공 및 안내
							"
"
								- 전화문의
							",,,,," 
								- 난임 부부
							",임신·출산준비에 관한 지원,"
								- 난임교육 및 상담, 병원정보 안내, 식이요법 및 생활습관, 감정코칭, 대안탐색 등
							"
"
								- 이메일 접수: bluesky-8288@hanmail.net, 수시 접수(메일 제목: 성명(단체명)-나눔교육문화복지카드 신청합니다) ,- 신청서: www.bluesky82.org에서 다운로드
							",,,"
								,
							",," 
								- 보육시설,- 지역아동센터/청소년센터,- 저소득계층의 어린이집,- 초ㆍ중ㆍ고 학교의 저소득계층 학생,- 소년소녀가장,- 장애인,- 한부모/조손 가정의 학생,- 다문화 단체/가정,- 새터민 단체/가정,- 차상위계층,- 그 외 소외계층
							",교육사업,"
								- 무료 나눔교육문화복지카드 발급
							"
"
								- 전화 상담 : 02-3431-3382
							",,,,," 
								- 난임부부
							",위탁모 및 입양지원사업,"
								- 입양을 원하는 난임부부의 1차 상담 지원을 통하여 협력기관인 입양기관 전문기관을 통한 2차 상담을 연결ㆍ주선
							"
"
								- 우편접수: 152-842 서울시 구로구 공원로 3 1808호(구로동 선경오피스텔) ,- 수시로 접수하나, 사업진행은 분기별 1회
							",,,"
								- 지원신청서, 정부 지원을 모두 받은 증명서, 건강보험 증명서 등
							",," 
								- 정부 지원 나이제한에 걸려 제외된 사람 (시험관시술 제외된 자) ,- 정부 지원 모두 받고도 임신에 실패한 사람
							",난임에 관한 지원,"
								- 정부의 지원을 모두 받고도 임신에 실패한 사람에게 시험관시술,- 금액 미정
							"
"
								- 인터넷 접수: www.atrac.or.kr ,- 관련 양식 내려받아 작성 ,- 이메일(hm-tech@atrac.or.kr) 접수 ,- 우편 접수: (445-360) 경기도 수원시 권선구 탑동 903 경기종합노동복지회관 별관 3층 경기도재활공학서비스연구지원센터2013 장애인 첨단 보조기구 지원 사업 담당자 ,- 매년 9~10월 공고
							",,,"
								- 신청서 표지(소정양식-인적사항 기재), 세부 신청서 ~(소정양식), 장애인등록카드(복지카드) 사본 또는 장애인 증명서 1부, 주민등록등본 1부, 건강보험료 납부 확인서 또는 국민기초생활수급권자 증명서 1부(해당자), 개인정보수집이용동의서 1부,학교 재학증명서 또는 재직증명서 1부(해당자만), 추천서 1부(담당 지도교사 또는 교수, 직장의 대표자 등 해당자만, 소정양식 사용)
							",," 
								- 아래 사항 모두 충족하여야 함,ㆍ연령: 20세~58세 등록 장애인,ㆍ장애유형: 지체장애, 뇌병변 장애, 시각장애, 청각장애 등,ㆍ기타사항: 현재 학교생활, 직장생활, 사회활동 등을 수행 중인 사람
							",장애인 첨단보조기구 지원,"
								- 맞춤형 첨단 보조기구 지원 ,- 보조기구 사용 및 관리 교육 서비스 제공 ,- 보조기구 지원에 따른 사후관리 서비스 제공
							"
"
								- 매년 5월 공고(인원충원시까지),- 인터넷 접수: www.bluesky82.org
							",,,"
								,
							",," 
								- 다문화가정, 저소득, 장애인 및 소외계층
							",장애인문화예술지원,"
								- 프로그램 켈리크래피, 미술치료사, 상담심리사, 리본&포장아트,- 수강료 무료
							"
"
								- 전화 상담 : 02-3431-3382 ,- 연중 수시 접수
							","
								,
							",,"
								- 공통서류,ㆍ지원 신청서, 병원 혹은 보건소에서 발급된 난임진단서 또는 정부지원 받은 확인서 1회, 2회 , 3회, 4회 중 택 1, 가장 최근 건강보험료 본인부담금 납부 영수증, 납부확인서(맞벌이 부부 또는 부부가 각각 가입되어 있을 경우 각각의 서류첨부, 휴직의 경우 휴직증서 첨부), 건강 보험카드 사본 1부(맞벌이 부부는 각각의 사본 첨부) ,- 추가서류,ㆍ지원동기 사연 (선택)
							",," 
								- 법적 혼인상태에 있는 체외수정시술을 요하는 난임부부로 의사의 진단서 제출자로 전국 가구 월평균 소득 150%이하 (건강보험료 본인부담금 납부액) 체외수정시술을 희망하는 난임 가정
							",아가야 보듬이 지원사업,"
								- 체외수정 시술 지원
							"
"
								- 공고시, 이메일 접수 및 병원 사회사업실 신청,- 신청기간: 1월~8월
							",,,"
								- 신청서, 자료활용동의서, 진단서/ 선택: 수급자증명서, 차상위 증명서, 건강보험료 납입확인서
							",," 
								- 최저생계비 200%이하인 24세 이하 시력회복 의료비가 필요한 자
							",시력회복 의료비 지원,"
								- 시력회복 의료비 일체(각막이식, 인공수정체 삽입, 녹내장, 백내장, 사시교정, 의안삽입, 특수렌즈 제작 등) 1인당 최소 50만원 ~ 최대 200만원
							"
"
								- 매년 6~7월, 선착순(홈페이지 공고 참조)
							",,,"
								,
							",," 
								- 장애인 가정의 비장애 청소년
							",초록여행 희망캠프,"
								- 2박3일 문화체험 및 미래설계 캠프 프로그램 지원
							"
"
								- 인터넷, 사례관리기관에서 지원신청
							",,,"
								,
							",," 
								- 가족구성원이 중한 질병에 걸린 경우,- 주소득자의 사망, 가출, 실직, 사고 및 사업부도 등을 당한 경우,- 화재나 재난 들르오 거주의 위험에 노출된 경우,- 기타 여러 사유로 위기상황에 처한 가정
							",이랜드 인큐베이팅(의료비),"
								- 일반치료비(수술비/입원비, 치과치료비,ㆍ개별신청 500만원, 중복신청 최대 700만원까지 지원
							"
"
								- 인터넷 koddi.or.kr 신청 ,- 매년 7월 중
							",,,"
								,
							",," 
								- 지체, 뇌병변 장애아동 및 청소년(신장 1m ~ 1.6m)
							",장애인 보조기구 지원사업,"
								- 장애인 보조기구(유모차형 휠체어) 지원
							"
"
								- 신청기간 : 2월, 7월,- '홈페이지 > 나눔,신청하세요' 신청
							",,,,," 
								- 빈곤환경에서 심리정서적 어려움을 겪고 있는 초등학교 1~6학년 아동
							",빈곤아동 심리정서치유사업,"
								- 미술, 음악, 놀이, 언어 등 전문적인 심리치료가 필요한 아동을 위한 프로그램 비용 나눔(지원금 상한액 204만원)
							"
"
								- 사례관리기관에서 인터넷 신청
							",,,"
								,
							",," 
								- 가족의 소득상실로 자녀 학업중단의 위기에 처한 경우 등
							",이랜드 인큐베이팅(교육비),"
								- 등록비(입학금), 급식비, 교육비, 검정고시 교육비,ㆍ개별신청 최대 300만원, 통합신청 500만원, 중복신청 700만원까지 지원
							"
"
								- 등기우편 및 이메일(홈페이지 공고 참조),- 신청기간: 매년 6월 접수
							","
								,
							",,"
								- 홈페이지 공고(www.kncsw.or.kr) 참조
							",," 
								- 복지소외계층
							",사랑나눔 실천운동,"
								- 아동/청소년: 학습 및 생계비,- 장애인: 재활지원, 생계/의료비 지원,- 노인: 생계/의료비 지원 및 의료보조기기 비용지원,- 성인: 시설생활자 사회복귀자립지원
							"
